visitId,visitStartTime,visitNumber,channelGrouping,browser,operatingSystem,deviceCategory,continent,subContinent,country,transactions
1501596177,1501596177,1,Organic Search,Chrome,Macintosh,desktop,Americas,South America,Brazil,
1501651981,1501651981,1,Organic Search,Chrome,Macintosh,desktop,Europe,Eastern Europe,Russia,
1501586158,1501586158,1,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501608159,1501608159,1,Organic Search,Safari,Macintosh,desktop,Asia,Southern Asia,India,
1501577371,1501577371,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Belgium,
1501587914,1501587914,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501587700,1501587700,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501587435,1501587435,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501576122,1501576122,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501653660,1501653660,1,Direct,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501601566,1501601566,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,France,
1501608816,1501608816,1,Direct,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501575585,1501575585,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501649786,1501649786,1,Organic Search,Chrome,Macintosh,desktop,Asia,Eastern Asia,Japan,
1501611826,1501611826,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Brazil,
1501583200,1501583200,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501609523,1501609523,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Netherlands,
1501607866,1501607866,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Colombia,
1501629433,1501629433,1,Organic Search,Chrome,Macintosh,desktop,Asia,Eastern Asia,Japan,
1501607938,1501607938,3,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501581795,1501581795,1,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,Ireland,
1501639761,1501639761,2,Organic Search,Chrome,Windows,desktop,Oceania,Australasia,Australia,
1501579312,1501579312,62,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501637462,1501637462,1,Organic Search,Chrome,Linux,desktop,Americas,Northern America,United States,
1501594185,1501594185,63,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501611385,1501611385,16,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501642094,1501642094,1,Organic Search,Chrome,Windows,desktop,Asia,Eastern Asia,Hong Kong,
1501618437,1501618437,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501614340,1501614340,2,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501583452,1501583452,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Bulgaria,
1501611913,1501611913,1,Direct,Chrome,Windows,desktop,Americas,Northern America,United States,
1501578890,1501578890,1,Organic Search,Edge,Windows,desktop,Europe,Western Europe,Belgium,
1501571727,1501571727,1,Organic Search,Chrome,Macintosh,desktop,Asia,Western Asia,Israel,
1501592594,1501592594,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,Bangladesh,
1501621427,1501621427,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,France,
1501656021,1501656021,1,Organic Search,Chrome,Windows,desktop,Asia,Eastern Asia,Japan,
1501598637,1501598637,1,Organic Search,Chrome,Windows,desktop,Europe,Southern Europe,Spain,
1501574778,1501574778,1,Organic Search,Chrome,Windows,desktop,Asia,Southeast Asia,Malaysia,
1501605247,1501605247,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Netherlands,
1501636462,1501636462,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Brazil,
1501647171,1501647171,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,France,
1501571795,1501571795,1,Organic Search,Firefox,Windows,desktop,Europe,Western Europe,Germany,
1501607473,1501607473,7,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501635430,1501635430,2,Organic Search,Chrome,Chrome OS,desktop,Americas,Northern America,United States,
1501581208,1501581208,1,Organic Search,Firefox,Windows,desktop,Asia,Southern Asia,Pakistan,
1501653852,1501653852,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501577678,1501577678,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501585173,1501585173,1,Organic Search,Chrome,Macintosh,desktop,Europe,Southern Europe,Portugal,
1501593888,1501593888,1,Organic Search,Chrome,Windows,desktop,Africa,Southern Africa,South Africa,
1501632230,1501632230,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Argentina,
1501591372,1501591372,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501584277,1501584277,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501651720,1501651720,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501578373,1501578373,1,Direct,Chrome,Windows,desktop,Asia,Southeast Asia,Singapore,
1501585245,1501585245,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501585543,1501585543,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,France,
1501574345,1501574345,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501601892,1501601892,1,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501651856,1501651856,1,Display,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501592001,1501592001,2,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,France,
1501622015,1501622015,1,Organic Search,Firefox,Macintosh,desktop,Europe,Western Europe,Belgium,
1501603091,1501603091,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501602451,1501602451,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501650912,1501650912,1,Organic Search,Safari,Macintosh,desktop,Oceania,Australasia,Australia,
1501579491,1501579491,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Russia,
1501596217,1501596217,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501619086,1501619086,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501587465,1501587465,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501576146,1501576146,12,Organic Search,Chrome,Macintosh,desktop,Europe,Southern Europe,Italy,
1501577434,1501577434,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Netherlands,
1501649626,1501649626,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501573864,1501573864,1,Organic Search,Coc Coc,Windows,desktop,Asia,Southeast Asia,Vietnam,
1501597039,1501597039,1,Organic Search,Firefox,Windows,desktop,Europe,Western Europe,France,
1501580875,1501580875,1,Organic Search,Chrome,Windows,desktop,Asia,Eastern Asia,Taiwan,
1501614434,1501614434,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501580824,1501580824,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501578590,1501578590,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501621850,1501621850,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501596950,1501596950,1,Organic Search,Chrome,Windows,desktop,Europe,Southern Europe,Italy,
1501599504,1501599504,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501632742,1501632742,3,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501584511,1501584511,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Netherlands,
1501611742,1501611742,1,Organic Search,Opera,Linux,desktop,Asia,Southern Asia,India,
1501573582,1501573582,1,Organic Search,Chrome,Windows,desktop,Asia,Eastern Asia,China,
1501574196,1501574196,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Romania,
1501625928,1501625928,1,Display,Chrome,Linux,desktop,Americas,Northern America,United States,
1501615079,1501615079,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Argentina,
1501581534,1501581534,1,Organic Search,Chrome,Windows,desktop,Europe,Southern Europe,Spain,
1501622756,1501622756,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501628054,1501628054,3,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501654861,1501654861,1,Organic Search,Chrome,Macintosh,desktop,Asia,Southeast Asia,Vietnam,
1501647699,1501647699,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501599823,1501599823,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Netherlands,
1501590254,1501590254,2,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Netherlands,
1501577356,1501577356,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501621325,1501621325,1,Direct,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501588771,1501588771,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501624270,1501624270,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501618441,1501618441,1,Organic Search,Safari,Macintosh,desktop,Americas,South America,Peru,
1501573858,1501573858,1,Organic Search,Chrome,Windows,desktop,Asia,Eastern Asia,Hong Kong,
1501655032,1501655032,1,Direct,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501622827,1501622827,1,Direct,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501595932,1501595932,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501575305,1501575305,36,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501628199,1501628199,1,Paid Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501594780,1501594780,1,Organic Search,Chrome,Chrome OS,desktop,Europe,Northern Europe,United Kingdom,
1501607915,1501607915,1,Organic Search,Firefox,Windows,desktop,Europe,Western Europe,Germany,
1501644415,1501644415,2,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501609971,1501609971,4,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501613382,1501613382,1,Referral,Chrome,Windows,desktop,Europe,Western Europe,France,
1501609509,1501609509,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,Sri Lanka,
1501606948,1501606948,2,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501579092,1501579092,1,Organic Search,Chrome,Windows,desktop,(not set),(not set),(not set),
1501575169,1501575169,1,Direct,Chrome,Macintosh,desktop,Asia,Southeast Asia,Singapore,
1501578446,1501578446,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Czechia,
1501582851,1501582851,1,Organic Search,Chrome,Linux,desktop,Asia,Southern Asia,India,
1501594759,1501594759,1,Organic Search,Chrome,Chrome OS,desktop,Europe,Northern Europe,United Kingdom,
1501655205,1501655205,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501585154,1501585154,4,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501620303,1501620303,1,Organic Search,Firefox,Windows,desktop,Americas,South America,Argentina,
1501598917,1501598917,105,Organic Search,Internet Explorer,Windows,desktop,Americas,Northern America,United States,
1501633327,1501633327,2,Organic Search,Safari,Macintosh,desktop,Asia,Eastern Asia,Japan,
1501619249,1501619249,1,Organic Search,Chrome,Macintosh,desktop,Europe,Southern Europe,Spain,
1501618328,1501618328,1,Paid Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501599598,1501599598,1,Organic Search,Chrome,Windows,desktop,(not set),(not set),(not set),
1501595482,1501595482,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,France,
1501630154,1501630154,1,Direct,Chrome,Macintosh,desktop,Americas,South America,Brazil,
1501587523,1501587523,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501587629,1501587629,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501589888,1501589888,2,Organic Search,Chrome,Macintosh,desktop,Asia,Southern Asia,India,
1501614448,1501614448,1,Organic Search,Chrome,Chrome OS,desktop,Asia,Southern Asia,India,
1501605183,1501605183,1,Organic Search,Safari,Macintosh,desktop,Europe,Southern Europe,Portugal,
1501637615,1501637615,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501594576,1501594576,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501610011,1501610011,1,Organic Search,Firefox,Windows,desktop,Europe,Western Europe,Germany,
1501608766,1501608766,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501601148,1501601148,3,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,France,
1501606731,1501606731,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Colombia,
1501592014,1501592014,1,Direct,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501596930,1501596930,2,Organic Search,Chrome,Chrome OS,desktop,Europe,Northern Europe,United Kingdom,
1501597781,1501597781,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501595994,1501595994,1,Organic Search,Chrome,Windows,desktop,Asia,Southeast Asia,Vietnam,
1501582163,1501582163,1,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501641927,1501641927,1,Organic Search,Safari,Macintosh,desktop,Asia,Southern Asia,India,
1501656281,1501656281,1,Direct,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501595498,1501595498,4,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501656943,1501656943,1,Organic Search,Chrome,Macintosh,desktop,Oceania,Australasia,Australia,
1501582390,1501582390,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501588890,1501588890,1,Organic Search,Chrome,Windows,desktop,Europe,Southern Europe,Spain,
1501608432,1501608432,2,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Switzerland,
1501617904,1501617904,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Hungary,
1501589020,1501589020,1,Organic Search,Chrome,Macintosh,desktop,Asia,Western Asia,United Arab Emirates,
1501641458,1501641458,1,Organic Search,Chrome,Windows,desktop,Asia,Southeast Asia,Malaysia,
1501621174,1501621174,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,Canada,
1501599503,1501599503,1,Organic Search,Chrome,Macintosh,desktop,(not set),(not set),(not set),
1501582468,1501582468,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501611431,1501611431,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501622383,1501622383,1,Direct,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501637227,1501637227,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,Canada,
1501650586,1501650586,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501580730,1501580730,1,Organic Search,Chrome,Macintosh,desktop,Asia,Eastern Asia,Hong Kong,
1501619525,1501619525,2,Organic Search,Chrome,Linux,desktop,Americas,Northern America,United States,
1501601789,1501601789,1,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501601661,1501601661,4,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501576433,1501576433,2,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Netherlands,
1501582522,1501582522,1,Organic Search,Internet Explorer,Windows,desktop,Europe,Western Europe,Germany,
1501584871,1501584871,2,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501626163,1501626163,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,France,
1501599826,1501599826,1,Direct,Chrome,Chrome OS,desktop,Europe,Northern Europe,United Kingdom,
1501594976,1501594976,1,Organic Search,Chrome,Chrome OS,desktop,Europe,Western Europe,Germany,
1501620084,1501620084,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501587165,1501587165,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,France,
1501584064,1501584064,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501574507,1501574507,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,France,
1501573985,1501573985,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501642580,1501642580,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501582135,1501582135,1,Organic Search,Chrome,Macintosh,desktop,Europe,Southern Europe,Spain,
1501590465,1501590465,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501615795,1501615795,2,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501656139,1501656139,1,Direct,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501597267,1501597267,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501592592,1501592592,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501595637,1501595637,1,Organic Search,Chrome,Windows,desktop,Asia,Western Asia,Cyprus,
1501644914,1501644914,2,Organic Search,Chrome,Windows,desktop,Oceania,Australasia,Australia,
1501574021,1501574021,1,Organic Search,Chrome,Macintosh,desktop,Europe,Eastern Europe,Russia,
1501611633,1501611633,2,Display,Chrome,Windows,desktop,Americas,Northern America,United States,
1501594785,1501594785,1,Organic Search,Chrome,Chrome OS,desktop,Europe,Northern Europe,United Kingdom,
1501576633,1501576633,1,Organic Search,Chrome,Macintosh,desktop,Asia,Southeast Asia,Thailand,
1501585822,1501585822,1,Organic Search,Firefox,Windows,desktop,Europe,Western Europe,Austria,
1501584803,1501584803,3,Organic Search,Internet Explorer,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501579601,1501579601,3,Organic Search,Chrome,Linux,desktop,Europe,Western Europe,France,
1501575432,1501575432,1,Organic Search,Chrome,Macintosh,desktop,Asia,Southeast Asia,Singapore,
1501625068,1501625068,5,Display,Chrome,Windows,desktop,Americas,Northern America,United States,
1501637491,1501637491,1,Organic Search,Chrome,Windows,desktop,Asia,Southeast Asia,Philippines,
1501624476,1501624476,1,Organic Search,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501633756,1501633756,1,Organic Search,Chrome,Macintosh,desktop,Asia,Southeast Asia,Malaysia,
1501650838,1501650838,1,Organic Search,Chrome,Chrome OS,desktop,Asia,Eastern Asia,Japan,
1501579182,1501579182,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501595622,1501595622,1,Organic Search,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501613161,1501613161,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501578372,1501578372,1,Organic Search,Firefox,Windows,desktop,Europe,Western Europe,France,
1501596357,1501596357,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501589341,1501589341,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,Pakistan,
1501571612,1501571612,1,Organic Search,Chrome,Windows,desktop,Asia,Southeast Asia,Singapore,
1501648536,1501648536,1,Organic Search,Chrome,Macintosh,desktop,Asia,Southern Asia,India,
1501620381,1501620381,1,Organic Search,Chrome,Macintosh,desktop,Americas,Central America,Mexico,
1501624893,1501624893,3,Paid Search,Chrome,Macintosh,desktop,Asia,Southeast Asia,Philippines,
1501586593,1501586593,1,Organic Search,Firefox,Windows,desktop,Europe,Eastern Europe,Poland,
1501655427,1501655427,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501596507,1501596507,1,Direct,Chrome,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501589129,1501589129,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Switzerland,
1501591837,1501591837,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Czechia,
1501630140,1501630140,1,Referral,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501596667,1501596667,1,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Czechia,
1501580697,1501580697,1,Organic Search,Chrome,Windows,desktop,Africa,Southern Africa,South Africa,
1501624616,1501624616,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501637496,1501637496,1,Organic Search,Chrome,Macintosh,desktop,Oceania,Australasia,Australia,
1501656976,1501656976,1,Referral,Chrome,Macintosh,desktop,Europe,Western Europe,Germany,
1501656812,1501656812,2,Organic Search,Safari,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501594199,1501594199,1,Organic Search,Firefox,Linux,desktop,Americas,Northern America,Canada,
1501584373,1501584373,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501608611,1501608611,1,Direct,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501650118,1501650118,1,Paid Search,Chrome,Chrome OS,desktop,Americas,Northern America,United States,
1501627396,1501627396,1,Organic Search,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501595576,1501595576,1,Organic Search,Chrome,Windows,desktop,Americas,South America,Argentina,
1501577924,1501577924,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,Pakistan,
1501571677,1501571677,5,Organic Search,Chrome,Macintosh,desktop,Europe,Southern Europe,Italy,
1501577453,1501577453,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,France,
1501587735,1501587735,1,Organic Search,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501603568,1501603568,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501629416,1501629416,1,Organic Search,Chrome,Windows,desktop,Europe,Southern Europe,Spain,
1501628714,1501628714,1,Organic Search,Chrome,Chrome OS,desktop,Europe,Northern Europe,United Kingdom,
1501573362,1501573362,1,Organic Search,Chrome,Windows,desktop,Europe,Western Europe,Germany,
1501625951,1501625951,1,Organic Search,Firefox,Macintosh,desktop,Europe,Southern Europe,Italy,
1501630207,1501630207,2,Organic Search,Chrome,Windows,desktop,Americas,South America,Argentina,
1501613130,1501613130,1,Organic Search,Chrome,Macintosh,desktop,Europe,Western Europe,France,
1501645610,1501645610,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501608832,1501608832,2,Organic Search,Chrome,Windows,desktop,Europe,Eastern Europe,Russia,
1501620880,1501620880,1,Organic Search,Safari,Macintosh,desktop,Europe,Northern Europe,United Kingdom,
1501602227,1501602227,5,Referral,Chrome,Linux,desktop,Americas,Northern America,United States,
1501620300,1501620300,1,Referral,Chrome,Windows,desktop,Americas,Northern America,United States,
1501606244,1501606244,1,Direct,Chrome,Linux,desktop,Americas,Northern America,United States,
1501621441,1501621441,1,Direct,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501593542,1501593542,4,Organic Search,Chrome,Macintosh,desktop,Americas,South America,Brazil,
1501628795,1501628795,2,Direct,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501604164,1501604164,1,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501639608,1501639608,1,Direct,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501611288,1501611288,3,Referral,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501656970,1501656970,1,Direct,Chrome,Windows,desktop,Asia,Southern Asia,India,
1501581568,1501581568,1,Direct,Chrome,Windows,desktop,Europe,Northern Europe,Ireland,
1501627659,1501627659,10,Referral,Chrome,Linux,desktop,Americas,Northern America,United States,
1501622054,1501622054,4,Organic Search,Chrome,Linux,desktop,Americas,Northern America,United States,
1501607173,1501607173,1,Referral,Chrome,Windows,desktop,Americas,Northern America,United States,
1501575987,1501575987,5,Referral,Chrome,Macintosh,desktop,Asia,Eastern Asia,Japan,
1501644744,1501644744,18,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501602613,1501602613,8,Referral,Chrome,Chrome OS,desktop,Europe,Northern Europe,United Kingdom,
1501624782,1501624782,1,Referral,Chrome,Windows,desktop,Europe,Eastern Europe,Ukraine,
1501576929,1501576929,4,Referral,Chrome,Macintosh,desktop,Asia,Western Asia,Qatar,
1501610904,1501610904,2,Organic Search,Chrome,Windows,desktop,Americas,Northern America,United States,
1501612878,1501612878,137,Display,Chrome,Windows,desktop,Americas,Northern America,United States,
1501614959,1501614959,1,Direct,Chrome,Windows,desktop,Asia,Western Asia,Turkey,
1501600013,1501600013,1,Direct,Internet Explorer,Windows,desktop,Europe,Western Europe,Germany,
1501604627,1501604627,1,Affiliates,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501612090,1501612090,1,Direct,Internet Explorer,Windows,desktop,Americas,Northern America,United States,
1501655633,1501655633,46,Referral,Chrome,Windows,desktop,Europe,Northern Europe,United Kingdom,
1501572101,1501572101,4,Affiliates,Internet Explorer,Windows,desktop,Asia,Eastern Asia,Taiwan,
1501571009,1501571009,1,Direct,Safari,Macintosh,desktop,Asia,Eastern Asia,Japan,
1501624342,1501624342,15,Referral,Chrome,Macintosh,desktop,Americas,Northern America,United States,
1501602591,1501602591,3,Referral,Firefox,Windows,desktop,Europe,Southern Europe,Spain,
1501638418,1501638418,1,Affiliates,Chrome,Windows,desktop,Americas,Northern America,United States,
1501595832,1501595832,2,Organic Search,Chrome,Macintosh,desktop,Europe,Eastern Europe,Czechia,
